id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,8,360.36135181218737,"[['1' '2.2628938355692307' 'marauded']
 ['1' '2.3675234651988606' 'presentdestroyed']
 ['1' '3.4502606535044653' 'presentdestroyed']
 ['1' '3.454890283134095' 'presentdestroyed']
 ['1' '4.826732923144657' 'presentdestroyed']
 ['1' '12.933787075775927' 'present']
 ['1' '16.019629068092858' 'present']
 ['1' '21.146684574467606' 'present']
 ['1' '23.566294185878377' 'present']
 ['1' '24.89190190330299' 'present']
 ['1' '29.158772295425457' 'marauded']
 ['1' '32.63616752795156' 'presentdestroyed']
 ['1' '34.06421772941896' 'presentdestroyed']
 ['1' '45.15585709340669' 'present']
 ['1' '46.10420286353665' 'present']
 ['1' '67.07420845375161' 'present']
 ['1' '73.539583935442' 'present']
 ['1' '76.81231667711542' 'present']
 ['1' '79.03455247704866' 'present']
 ['1' '82.11707528854586' 'present']
 ['1' '88.23255130147122' 'present']
 ['1' '97.52092628972754' 'present']
 ['1' '98.71620901901281' 'present']
 ['1' '99.65087621926226' 'marauded']
 ['1' '112.8043774932275' 'marauded']
 ['1' '115.53505776783915' 'presentdestroyed']
 ['1' '121.99643087048962' 'marauded']
 ['1' '127.46295397004023' 'presentdestroyed']
 ['1' '130.7056517769491' 'marauded']
 ['1' '134.53287899431427' 'presentdestroyed']
 ['1' '134.5375086239439' 'presentdestroyed']
 ['1' '143.97434382716563' 'marauded']
 ['1' '148.2264159602795' 'presentdestroyed']
 ['1' '148.47595070166145' 'presentdestroyed']
 ['1' '149.7775791459341' 'presentdestroyed']
 ['1' '155.8684493646404' 'present']
 ['1' '157.7804740457526' 'present']
 ['1' '167.62427726804086' 'present']
 ['1' '168.35386416736918' 'present']
 ['1' '168.9266563160387' 'present']
 ['1' '171.62123847544265' 'marauded']
 ['1' '178.50130776346532' 'presentdestroyed']
 ['1' '178.67195900425185' 'presentdestroyed']
 ['1' '181.27463431789897' 'present']
 ['1' '186.06881007224803' 'marauded']
 ['1' '188.53425871203493' 'destroyed']
 ['1' '191.2180236611944' 'presentdestroyed']
 ['1' '194.90217972682376' 'present']
 ['1' '199.50442685972126' 'present']
 ['1' '203.31742247624206' 'present']
 ['1' '206.98020186131956' 'present']
 ['1' '209.65921441993981' 'present']
 ['1' '213.18944670623583' 'marauded']
 ['1' '228.22837598315036' 'marauded']
 ['1' '240.15345901017022' 'present']
 ['1' '241.61532052986547' 'marauded']
 ['1' '247.76851588660512' 'presentdestroyed']
 ['1' '259.4191483361041' 'present']
 ['1' '261.1391483648164' 'present']
 ['1' '263.6817132119726' 'present']
 ['1' '265.8820600685113' 'present']
 ['1' '267.4266196477777' 'marauded']
 ['1' '268.16864158199456' 'presentdestroyed']
 ['1' '273.3420258409085' 'presentdestroyed']
 ['1' '274.27791905898334' 'presentdestroyed']
 ['1' '275.4450593324923' 'present']
 ['1' '280.0454623512836' 'present']
 ['1' '281.7665534969332' 'present']
 ['1' '296.27251534956594' 'present']
 ['1' '296.2771449791956' 'present']
 ['1' '297.3878698260489' 'present']
 ['1' '298.19005065955105' 'present']
 ['1' '298.2777668509624' 'present']
 ['1' '298.4533327983245' 'marauded']
 ['1' '309.05324047912165' 'present']
 ['1' '316.9206078086869' 'present']
 ['1' '319.3074173494039' 'present']
 ['1' '321.601268414044' 'present']
 ['1' '322.00286954194695' 'marauded']
 ['1' '330.6454475042416' 'present']
 ['1' '332.59716312347183' 'present']
 ['1' '334.1665510507604' 'marauded']
 ['1' '334.84824935227743' 'presentdestroyed']
 ['1' '335.8509415776962' 'presentdestroyed']
 ['1' '338.2309801276705' 'presentdestroyed']
 ['1' '340.2284361971541' 'destroyed']
 ['1' '341.2754229639368' 'marauded']
 ['1' '342.9155923543806' 'presentdestroyed']
 ['1' '356.61744153090075' 'present']]","[['F14' '18.233349501132246' 'mated']
 ['F1' '55.14371519666572' 'mated']
 ['F9' '80.03785381722214' 'mated']
 ['F10' '163.56675698321038' 'mated']
 ['F12' '182.46595584207992' 'mated']
 ['F6' '193.44847477345124' 'destroyed']
 ['F17' '217.9615459696831' 'destroyed']
 ['F17' '241.96617559931272' 'destroyed']
 ['F4' '262.135965084192' 'mated']
 ['F17' '265.97080522894237' 'mated']
 ['F7' '303.4878324507389' 'absentdestroyed']
 ['F16' '324.91371573520536' 'destroyed']
 ['F7' '327.49246208036857' 'destroyed']
 ['F16' '348.91834536483503' 'mated']]",565.0,73.70213872305129,16.0038198150929,1072.0,182.45950413679162,38.6922035495873,606.0,103.88398837308203,22.389527722237887,0.0,0.0,0.0,0.0,0.0,0.0
1,0.054,10,360.51736933105724,[],"[['F0' '86.69736697110368' 'mated']
 ['F5' '135.34048215274214' 'mated']
 ['F13' '180.24322605198867' 'mated']
 ['F11' '182.90837440182239' 'mated']
 ['F3' '187.33176361935483' 'mated']
 ['F6' '205.45078958826605' 'mated']
 ['F8' '208.5737185567642' 'mated']
 ['F17' '229.9638607844979' 'absent']
 ['F17' '253.96849041412753' 'absent']
 ['F2' '290.2111595391395' 'mated']
 ['F7' '291.48551763592405' 'absent']
 ['F15' '293.37748848418727' 'mated']
 ['F7' '315.49014726555373' 'absent']
 ['F16' '336.9160305500202' 'absent']
 ['F7' '339.4947768951834' 'mated']]",568.0,69.13744898722334,13.90694708464821,1736.0,288.8899997319951,60.87754890722404,0.0,0.0,0.0,17.0,1.7000000000000004,0.1700000000000001,89.0,0.4120370370370375,0.001907578875171466
