id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,5,360.2797045409739,"[['1' '7.233211477362172' 'present']
 ['1' '20.862069416276345' 'present']
 ['1' '44.29859157878734' 'present']
 ['1' '50.528382306587126' 'present']
 ['1' '76.54883780197409' 'present']
 ['1' '89.01385971941883' 'present']
 ['1' '92.68057202232671' 'present']
 ['1' '97.45194113561745' 'present']
 ['1' '98.37424169949938' 'present']
 ['1' '105.5488738873313' 'present']
 ['1' '106.74398771510982' 'present']
 ['1' '120.98410289953466' 'marauded']
 ['1' '122.66765071821506' 'present']
 ['1' '128.61733957312828' 'present']
 ['1' '145.25524758698245' 'present']
 ['1' '167.4693482826715' 'present']
 ['1' '175.8331810199973' 'present']
 ['1' '176.42753139276894' 'present']
 ['1' '178.38230063494618' 'present']
 ['1' '188.97309648670623' 'present']
 ['1' '200.9970061837607' 'present']
 ['1' '206.670515599967' 'marauded']
 ['1' '216.29838875577894' 'marauded']
 ['1' '223.74036113532736' 'present']
 ['1' '226.64665515870584' 'present']
 ['1' '232.76731266476156' 'present']
 ['1' '233.41870956665406' 'present']
 ['1' '233.42333919628368' 'present']
 ['1' '239.14387734078582' 'marauded']
 ['1' '246.86694548861863' 'present']
 ['1' '259.89346414693273' 'present']
 ['1' '262.0905204907961' 'present']
 ['1' '262.7899135688121' 'marauded']
 ['1' '279.4888902968323' 'present']
 ['1' '301.4890144757316' 'marauded']
 ['1' '305.2772739721798' 'marauded']
 ['1' '308.65549487679846' 'present']
 ['1' '314.6519311643264' 'marauded']
 ['1' '317.7469017668219' 'marauded']
 ['1' '318.782498873096' 'presentdestroyed']
 ['1' '324.27282225267345' 'present']
 ['1' '332.3046042499431' 'marauded']
 ['1' '337.690992568926' 'present']
 ['1' '341.3598173597377' 'present']
 ['1' '350.4034670403883' 'marauded']
 ['1' '353.52250397199947' 'present']
 ['1' '354.3350559428763' 'marauded']
 ['1' '354.5019100937813' 'presentdestroyed']
 ['1' '356.0695247457062' 'marauded']]","[['F5' '107.50368369210273' 'mated']
 ['F2' '147.01714962314824' 'absent']
 ['F10' '208.75540903598642' 'absent']
 ['F16' '208.8064202089581' 'absent']
 ['F7' '225.58950811154835' 'absent']
 ['F0' '225.7959815240368' 'mated']
 ['F7' '249.59413774117797' 'mated']
 ['F3' '277.83004442301626' 'mated']
 ['F15' '300.2876157427432' 'mated']
 ['F9' '357.3319659201239' 'destroyed']]",566.0,68.53088430132799,14.236510661935544,1585.0,270.9322528006843,58.48284545548572,125.0,20.56827483939208,4.347905340573275,0.0,0.0,0.0,0.0,0.0,0.0
1,0.027,13,360.3432260261149,[],"[['F12' '39.21213786950014' 'mated']
 ['F6' '72.39872026714087' 'mated']
 ['F13' '151.74326212182578' 'mated']
 ['F2' '159.01946443796305' 'mated']
 ['F17' '180.12405509997348' 'mated']
 ['F14' '187.64043938569708' 'mated']
 ['F10' '220.75772385080123' 'mated']
 ['F16' '220.8087350237729' 'mated']
 ['F8' '228.9688986066029' 'mated']
 ['F7' '237.59182292636316' 'absent']
 ['F11' '239.06085309981896' 'mated']
 ['F1' '280.2355998445589' 'mated']
 ['F4' '320.6537437672758' 'mated']
 ['F9' '369.3342807349387' 'mated']]",569.0,72.85675469346485,14.947916626738921,1748.0,285.64083330308205,59.30664825879918,0.0,0.0,0.0,13.0,1.3,0.13000000000000006,49.0,0.2268518518518516,0.0010502400548696837
