id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,5,360.1652310653626,"[['1' '2.0010785172700585' 'present']
 ['1' '16.489995095410986' 'marauded']
 ['1' '29.66304729873388' 'present']
 ['1' '35.95976473583694' 'present']
 ['1' '36.68715918977127' 'present']
 ['1' '37.5185151811249' 'present']
 ['1' '76.51783652751725' 'present']
 ['1' '105.76357304000805' 'present']
 ['1' '119.27012529489429' 'marauded']
 ['1' '120.89706217142458' 'presentdestroyed']
 ['1' '126.43094903550046' 'present']
 ['1' '139.72885150846224' 'present']
 ['1' '150.25947976325557' 'present']
 ['1' '153.25077606854373' 'present']
 ['1' '155.8462627462641' 'present']
 ['1' '158.66490036900498' 'marauded']
 ['1' '165.63018544322955' 'present']
 ['1' '175.83826405430187' 'present']
 ['1' '197.37642800000478' 'present']
 ['1' '197.684232366163' 'present']
 ['1' '198.2374844350883' 'present']
 ['1' '198.2892778818067' 'present']
 ['1' '203.7994310072751' 'marauded']
 ['1' '220.4634900905251' 'present']
 ['1' '226.95270866232283' 'present']
 ['1' '232.37666407605494' 'present']
 ['1' '237.0150889238851' 'present']
 ['1' '241.76851682248224' 'present']
 ['1' '242.93411367794494' 'present']
 ['1' '242.93874330757455' 'present']
 ['1' '250.35062411813965' 'present']
 ['1' '264.2372654415483' 'marauded']
 ['1' '272.1675880090475' 'marauded']
 ['1' '275.95077003373586' 'present']
 ['1' '295.9002370668705' 'present']
 ['1' '307.9793816245128' 'present']
 ['1' '317.79964021854215' 'present']
 ['1' '325.23698384876576' 'present']
 ['1' '335.45757338061577' 'present']
 ['1' '337.21076785601537' 'present']
 ['1' '337.9405492080889' 'present']
 ['1' '343.7083210323926' 'present']
 ['1' '346.18561614438306' 'present']
 ['1' '346.19024577401274' 'present']]","[['F15' '106.99103567438011' 'absent']
 ['F11' '142.51256138769483' 'mated']
 ['F14' '216.31837474712339' 'mated']
 ['F6' '236.99821239104364' 'mated']
 ['F5' '262.50684892038225' 'mated']
 ['F13' '315.02313084880427' 'absent']
 ['F13' '339.02776047843395' 'mated']]",554.0,69.39363167827166,14.409549650174675,1643.0,281.3421157982363,61.22518362647869,59.0,9.314160024328489,1.881158712166687,0.0,0.0,0.0,0.0,0.0,0.0
1,0.027,13,359.7450066047458,[],"[['F1' '60.75282618487271' 'mated']
 ['F15' '94.9887208595653' 'absent']
 ['F15' '118.99335048919492' 'mated']
 ['F4' '148.93793623132555' 'mated']
 ['F8' '157.2925097754771' 'mated']
 ['F0' '167.1932478087157' 'mated']
 ['F12' '201.98223275321828' 'mated']
 ['F7' '207.33347542299177' 'mated']
 ['F3' '218.88463002442768' 'mated']
 ['F9' '228.94649069537653' 'mated']
 ['F10' '251.82846694423566' 'mated']
 ['F16' '281.8761478176155' 'mated']
 ['F17' '283.36571043633467' 'mated']
 ['F13' '303.02081603398943' 'absent']
 ['F2' '312.37382773453425' 'mated']
 ['F13' '327.0254456636191' 'absent']]",566.0,67.83860513578986,14.025474792291915,1722.0,291.3724528171877,62.28768245662243,0.0,0.0,0.0,6.0,0.6,0.06000000000000001,44.0,0.2037037037037035,0.0009430727023319608
