id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,13,360.311432837239,"[['1' '2.8421984581490904' 'present']
 ['1' '15.810467824361995' 'present']
 ['1' '37.02045529218676' 'present']
 ['1' '41.79496408467421' 'marauded']
 ['1' '43.96619646220762' 'presentdestroyed']
 ['1' '47.07109939318359' 'presentdestroyed']
 ['1' '61.8081176597045' 'present']
 ['1' '62.199038971944844' 'present']
 ['1' '62.245335268241135' 'present']
 ['1' '66.08575213247063' 'present']
 ['1' '77.35197457346405' 'present']
 ['1' '81.90878017531173' 'marauded']
 ['1' '100.71090177619541' 'marauded']
 ['1' '102.54874815595424' 'presentdestroyed']
 ['1' '111.54480328665049' 'marauded']
 ['1' '113.88624925889786' 'presentdestroyed']
 ['1' '118.11623721365896' 'presentdestroyed']
 ['1' '120.37036812966939' 'present']
 ['1' '123.24744939223221' 'present']
 ['1' '129.64982310594124' 'present']
 ['1' '146.92210234363571' 'present']
 ['1' '169.05456252282735' 'present']
 ['1' '180.05875499852698' 'marauded']
 ['1' '208.35396438762928' 'present']
 ['1' '223.42183275947718' 'present']
 ['1' '235.36014608645758' 'present']
 ['1' '247.91312859923403' 'marauded']
 ['1' '256.05198485405066' 'present']
 ['1' '266.7201771230315' 'present']
 ['1' '267.75053379514975' 'present']
 ['1' '268.11034507689385' 'present']
 ['1' '268.3620661645633' 'present']
 ['1' '269.1205033962203' 'marauded']
 ['1' '294.6599794360228' 'present']
 ['1' '302.1267065467255' 'present']
 ['1' '303.4675135450154' 'present']
 ['1' '305.89753422579884' 'present']
 ['1' '318.5337001251075' 'present']
 ['1' '320.8238531103822' 'present']
 ['1' '324.91861895421044' 'present']
 ['1' '332.1978031413688' 'present']
 ['1' '334.010273531019' 'present']
 ['1' '341.1695514015188' 'present']
 ['1' '348.80190101042' 'present']
 ['1' '349.67996790729813' 'present']
 ['1' '359.13439400694244' 'present']
 ['1' '359.55431821953295' 'present']]","[['F9' '135.36109123217017' 'mated']
 ['F16' '144.74049505843342' 'mated']
 ['F5' '151.15629401588683' 'absent']
 ['F13' '153.99617863764848' 'mated']
 ['F17' '159.53410829259252' 'mated']
 ['F11' '172.15595918437572' 'absent']
 ['F8' '176.18841124346372' 'absent']
 ['F3' '188.6529285237074' 'mated']
 ['F7' '230.32430875427747' 'mated']
 ['F12' '236.06809501621763' 'mated']
 ['F15' '261.01837280524853' 'mated']
 ['F14' '281.5487009520965' 'mated']
 ['F2' '319.83351581855226' 'mated']
 ['F10' '320.81098795473554' 'mated']
 ['F0' '341.9764945445911' 'mated']
 ['F4' '357.60244403500917' 'mated']]",561.0,69.02647701842633,13.634777860419769,1445.0,248.60034533319094,53.86056715632668,262.0,42.47017499024013,8.739289830482917,0.0,0.0,0.0,0.0,0.0,0.0
1,0.027,5,359.97707933266594,[],"[['F5' '163.17944216403498' 'mated']
 ['F11' '184.17910733252387' 'mated']
 ['F8' '188.21155939161187' 'mated']
 ['F1' '252.32462866936805' 'mated']
 ['F0' '329.95334639644295' 'absent']
 ['F6' '347.42983240510836' 'mated']]",586.0,69.34870015215576,13.557505610531601,1701.0,287.869778444318,61.62334230689143,0.0,0.0,0.0,7.0,0.7,0.07,47.0,2.1759259259259256,0.10073731138545958
