id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,9,360.16272277612825,"[['1' '0.023148148148148147' 'present']
 ['1' '8.874170885115634' 'present']
 ['1' '9.28567921740769' 'present']
 ['1' '14.147667888577233' 'present']
 ['1' '18.42504575342373' 'present']
 ['1' '21.196646791854203' 'marauded']
 ['1' '35.63789255443273' 'present']
 ['1' '39.45513987116749' 'marauded']
 ['1' '41.241169118026825' 'destroyed']
 ['1' '43.398684051878945' 'presentdestroyed']
 ['1' '53.18984941273594' 'present']
 ['1' '59.05056829725478' 'present']
 ['1' '71.74424506774933' 'present']
 ['1' '76.11014959949483' 'present']
 ['1' '89.97068303977316' 'present']
 ['1' '90.88404065337629' 'present']
 ['1' '98.27330835629058' 'present']
 ['1' '103.2676774005425' 'present']
 ['1' '114.34025149045577' 'present']
 ['1' '122.04842888800603' 'present']
 ['1' '133.00521147654678' 'present']
 ['1' '134.29033942865559' 'present']
 ['1' '135.39624553053346' 'marauded']
 ['1' '138.71818682062306' 'presentdestroyed']
 ['1' '149.55565290359758' 'present']
 ['1' '149.87005648102246' 'present']
 ['1' '153.24806314990238' 'present']
 ['1' '153.29435944619868' 'marauded']
 ['1' '158.11432047840165' 'presentdestroyed']
 ['1' '164.10106229150554' 'present']
 ['1' '164.39631812872295' 'present']
 ['1' '174.02318904618423' 'present']
 ['1' '180.17229824359262' 'present']
 ['1' '183.18153159674813' 'present']
 ['1' '196.63634123125505' 'marauded']
 ['1' '198.89800721636018' 'presentdestroyed']
 ['1' '203.7344883947734' 'presentdestroyed']
 ['1' '207.65971640327012' 'present']
 ['1' '208.41203461103615' 'marauded']
 ['1' '223.97358852351474' 'marauded']
 ['1' '230.72357716692085' 'destroyed']
 ['1' '244.54691184357853' 'marauded']
 ['1' '246.5391940430383' 'presentdestroyed']
 ['1' '301.3710046333861' 'marauded']
 ['1' '301.5520476595355' 'presentdestroyed']
 ['1' '304.5699854624654' 'presentdestroyed']
 ['1' '312.4454951403499' 'present']
 ['1' '326.6163411488282' 'present']
 ['1' '341.6577690597082' 'present']
 ['1' '343.8035256164512' 'present']
 ['1' '358.892279326308' 'marauded']]","[['F6' '35.809915744662646' 'mated']
 ['F3' '68.9364099148116' 'mated']
 ['F11' '86.4114942830195' 'mated']
 ['F8' '102.48377330982778' 'mated']
 ['F16' '120.02027458558115' 'mated']
 ['F12' '201.2789885798439' 'destroyed']
 ['F13' '205.6993142388127' 'mated']
 ['F12' '225.32528487614022' 'absentdestroyed']
 ['F4' '247.41685119772' 'destroyed']
 ['F10' '262.5134062058586' 'mated']
 ['F2' '278.2435501220567' 'mated']
 ['F7' '280.7364733443713' 'mated']
 ['F1' '371.7023817088964' 'destroyed']]",570.0,71.77363116153774,14.919265888755984,1353.0,232.0587710534512,49.11843732936308,358.0,56.26608018619159,11.396717988537631,0.0,0.0,0.0,0.0,0.0,0.0
1,0.027,8,360.2338554556846,[],"[['F15' '146.313624772219' 'mated']
 ['F9' '169.59278689229924' 'mated']
 ['F5' '172.6555994324122' 'mated']
 ['F0' '182.41064320566295' 'mated']
 ['F12' '213.30213672799206' 'absent']
 ['F12' '237.34843302428837' 'mated']
 ['F10' '250.49025805771046' 'absent']
 ['F14' '251.67017953394028' 'mated']
 ['F4' '259.43999934586816' 'mated']
 ['F17' '339.05923889450753' 'mated']]",570.0,73.011145737111,15.477126708732277,1673.0,283.76136703110626,60.9311469041303,0.0,0.0,0.0,10.0,0.9999999999999999,0.10000000000000003,51.0,2.3611111111111107,0.10931069958847742
