id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,5,360.36710059255944,"[['1' '6.533667358616741' 'present']
 ['1' '11.442217508469499' 'present']
 ['1' '14.54859172821165' 'present']
 ['1' '19.57106522292844' 'present']
 ['1' '29.43126925082922' 'present']
 ['1' '46.74489217943174' 'present']
 ['1' '54.31232608679951' 'present']
 ['1' '58.36056265295438' 'present']
 ['1' '62.39195326117441' 'present']
 ['1' '75.01595713267082' 'marauded']
 ['1' '76.11938278189018' 'presentdestroyed']
 ['1' '81.7988490119411' 'present']
 ['1' '86.00361319417269' 'present']
 ['1' '86.09551429171891' 'present']
 ['1' '88.15258034956997' 'present']
 ['1' '94.86815765304752' 'present']
 ['1' '103.45650820166951' 'present']
 ['1' '127.27016808773807' 'present']
 ['1' '158.87690743769312' 'present']
 ['1' '166.94492104769122' 'present']
 ['1' '168.90730189558084' 'present']
 ['1' '172.56002385716718' 'present']
 ['1' '172.70729509576097' 'present']
 ['1' '184.61541756181018' 'marauded']
 ['1' '185.01606969599734' 'presentdestroyed']
 ['1' '191.0148265293749' 'present']
 ['1' '207.03650916429453' 'present']
 ['1' '207.08280546059083' 'marauded']
 ['1' '208.03931032545532' 'presentdestroyed']
 ['1' '221.85052172157427' 'present']
 ['1' '228.27738093514088' 'present']
 ['1' '229.46972807677744' 'present']
 ['1' '243.18805750981883' 'present']
 ['1' '243.40093397141683' 'present']
 ['1' '247.79023758690875' 'marauded']
 ['1' '261.2059172363758' 'present']
 ['1' '273.0224832746021' 'present']
 ['1' '282.4288841167997' 'marauded']
 ['1' '286.15436522839343' 'present']
 ['1' '297.57154901283667' 'present']
 ['1' '299.2350803479762' 'present']
 ['1' '332.8380547765803' 'present']
 ['1' '334.07578486644076' 'marauded']
 ['1' '335.8338239338264' 'presentdestroyed']
 ['1' '336.377281121533' 'present']
 ['1' '336.6190566460143' 'present']
 ['1' '342.53050572215017' 'present']
 ['1' '346.22262194418875' 'present']
 ['1' '356.5955202337945' 'present']]","[['F7' '111.40304409542091' 'absent']
 ['F2' '116.06432105505533' 'absent']
 ['F6' '119.37473205317006' 'mated']
 ['F10' '127.96246478438177' 'mated']
 ['F13' '136.70239689348836' 'absent']
 ['F17' '178.30845462259893' 'absent']
 ['F16' '213.9893427615103' 'mated']
 ['F15' '266.40213660069276' 'mated']
 ['F14' '304.62195024587527' 'mated']]",570.0,70.11434305421216,14.613508860335337,1691.0,280.2655339952736,59.364932740052545,56.0,9.705679445826071,2.067168147595092,0.0,0.0,0.0,0.0,0.0,0.0
1,0.027,13,360.57932319985133,[],"[['F9' '80.52702300148566' 'mated']
 ['F7' '99.37989594727276' 'absent']
 ['F1' '113.1194520701495' 'mated']
 ['F0' '114.30942426119677' 'mated']
 ['F7' '123.42619224356906' 'mated']
 ['F2' '128.08746920320348' 'mated']
 ['F13' '148.7255450416365' 'mated']
 ['F17' '166.28530647445078' 'absent']
 ['F17' '190.33160277074708' 'mated']
 ['F16' '201.96619461336215' 'absent']
 ['F3' '216.33032394044207' 'mated']
 ['F8' '228.55634944747493' 'mated']
 ['F4' '230.19077155076343' 'mated']
 ['F15' '254.37898845254463' 'absent']
 ['F5' '267.6351131765734' 'mated']
 ['F11' '307.04051377013093' 'mated']
 ['F12' '309.36985338008895' 'mated']]",568.0,70.11102513454728,13.595670354385124,1687.0,287.03720160161896,61.53384360661344,0.0,0.0,0.0,6.0,0.6,0.06000000000000001,49.0,2.268518518518518,0.1050240054869685
