id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,9,359.90587735939505,"[['1' '17.121865415817755' 'present']
 ['1' '19.668648182586992' 'present']
 ['1' '22.242002571334073' 'present']
 ['1' '28.667761995138267' 'marauded']
 ['1' '35.87341781926805' 'present']
 ['1' '37.99289390117373' 'marauded']
 ['1' '39.770998247694166' 'present']
 ['1' '43.51423563290815' 'present']
 ['1' '51.1492931376903' 'present']
 ['1' '54.772543406197684' 'present']
 ['1' '54.849542226973114' 'present']
 ['1' '55.95885225364642' 'present']
 ['1' '57.16234745570429' 'present']
 ['1' '60.02928039151033' 'marauded']
 ['1' '64.78641580650944' 'present']
 ['1' '71.05091684989124' 'present']
 ['1' '86.96201411485447' 'present']
 ['1' '92.58771293354775' 'present']
 ['1' '98.23948354065439' 'present']
 ['1' '126.5731321756099' 'marauded']
 ['1' '141.92928921479148' 'present']
 ['1' '148.3703981639361' 'present']
 ['1' '154.51248151057052' 'present']
 ['1' '157.46608706907844' 'present']
 ['1' '159.651172471317' 'present']
 ['1' '160.44995002041873' 'marauded']
 ['1' '165.46991163864007' 'present']
 ['1' '166.6459844483394' 'present']
 ['1' '170.85386829099693' 'present']
 ['1' '179.72579079426262' 'present']
 ['1' '179.77208709055893' 'present']
 ['1' '182.43630212136782' 'marauded']
 ['1' '191.79301851793417' 'marauded']
 ['1' '194.7357240197205' 'marauded']
 ['1' '196.17459420155762' 'destroyed']
 ['1' '196.48486554353406' 'presentdestroyed']
 ['1' '197.13526288469842' 'present']
 ['1' '200.37427639244189' 'marauded']
 ['1' '210.9834775592419' 'present']
 ['1' '224.28861986733415' 'present']
 ['1' '228.35911334867487' 'present']
 ['1' '236.71063491312378' 'present']
 ['1' '251.0625496316665' 'marauded']
 ['1' '253.06617652613818' 'present']
 ['1' '257.3530878204465' 'present']
 ['1' '264.0931664169145' 'marauded']
 ['1' '265.744384588361' 'destroyed']
 ['1' '277.06078980045356' 'present']
 ['1' '277.10708609674987' 'present']
 ['1' '277.196130846527' 'present']
 ['1' '286.647413774082' 'marauded']
 ['1' '286.7937100703783' 'destroyed']
 ['1' '294.83585330035885' 'marauded']
 ['1' '302.4755655165854' 'present']
 ['1' '303.6008021060604' 'marauded']
 ['1' '314.66477218733473' 'marauded']
 ['1' '317.927501016112' 'marauded']
 ['1' '323.6142455911987' 'present']
 ['1' '329.1716214844136' 'present']
 ['1' '333.2199704013213' 'present']
 ['1' '339.72559648948163' 'present']
 ['1' '349.7972141330012' 'marauded']
 ['1' '359.4188069740738' 'present']]","[['F4' '39.290871039543475' 'absentdestroyed']
 ['F5' '99.2901336832633' 'mated']
 ['F7' '146.6191636346933' 'mated']
 ['F8' '181.98243265321938' 'mated']
 ['F16' '189.28514875339854' 'absent']
 ['F14' '206.01988284716074' 'absent']
 ['F15' '211.60016491754823' 'mated']
 ['F1' '240.11202027263957' 'mated']
 ['F10' '249.32309846334047' 'mated']
 ['F9' '278.1611790605997' 'mated']
 ['F6' '321.375074683047' 'mated']
 ['F17' '344.64519100733946' 'mated']]",555.0,74.18730730319585,16.441845725826084,1547.0,258.76606376888583,54.346450941003276,149.0,27.06616800589091,5.924197233637545,0.0,0.0,0.0,0.0,0.0,0.0
1,0.027,9,360.39926063502116,[],"[['F4' '51.31401918769162' 'mated']
 ['F13' '117.0209149898661' 'mated']
 ['F0' '148.21800351956875' 'mated']
 ['F12' '185.8118672053682' 'mated']
 ['F11' '188.98690477560788' 'mated']
 ['F14' '193.9967346990126' 'absent']
 ['F16' '201.3082969015467' 'mated']
 ['F14' '218.0430309953089' 'mated']
 ['F2' '229.29609865501814' 'mated']
 ['F3' '289.5399565938918' 'mated']]",558.0,71.51718074028234,14.677059183076583,1706.0,283.94476806261537,60.1181982620981,0.0,0.0,0.0,17.0,1.7000000000000004,0.1700000000000001,63.0,2.916666666666666,0.13503086419753088
