id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,4,360.1011799303452,"[['1' '0.48490479440667555' 'present']
 ['1' '4.016671856594699' 'present']
 ['1' '4.454482310836163' 'marauded']
 ['1' '7.706514258164335' 'destroyed']
 ['1' '7.7528105544606305' 'presentdestroyed']
 ['1' '7.799106850756926' 'presentdestroyed']
 ['1' '20.59145064236596' 'present']
 ['1' '32.331140127064245' 'marauded']
 ['1' '35.61762113746159' 'presentdestroyed']
 ['1' '35.66391743375788' 'presentdestroyed']
 ['1' '42.78030166868998' 'present']
 ['1' '44.7910201287306' 'present']
 ['1' '45.72542384719798' 'present']
 ['1' '47.79638213502172' 'present']
 ['1' '47.842678431318014' 'present']
 ['1' '48.653837755508256' 'present']
 ['1' '49.91656626483972' 'present']
 ['1' '52.78154644301074' 'present']
 ['1' '53.458276061313214' 'present']
 ['1' '60.76822703058607' 'present']
 ['1' '64.63358510324406' 'marauded']
 ['1' '64.77988139954036' 'presentdestroyed']
 ['1' '70.82712127948001' 'presentdestroyed']
 ['1' '73.51631192078125' 'present']
 ['1' '82.67001870676108' 'present']
 ['1' '86.30449732632276' 'present']
 ['1' '88.19063483295412' 'present']
 ['1' '89.15987415920449' 'present']
 ['1' '91.23881868832254' 'marauded']
 ['1' '96.69664106678498' 'presentdestroyed']
 ['1' '100.88637420546226' 'present']
 ['1' '101.29183767013096' 'marauded']
 ['1' '102.63580313168318' 'presentdestroyed']
 ['1' '107.85245981783908' 'destroyed']
 ['1' '111.22867699555333' 'marauded']
 ['1' '111.44462290099946' 'presentdestroyed']
 ['1' '112.58431445597458' 'presentdestroyed']
 ['1' '114.4632491264433' 'presentdestroyed']
 ['1' '115.85513594737772' 'presentdestroyed']
 ['1' '117.40771693829336' 'presentdestroyed']
 ['1' '126.11374975656713' 'present']
 ['1' '127.31730377107574' 'present']
 ['1' '127.36360006737205' 'present']
 ['1' '132.70866166028298' 'present']
 ['1' '136.95804337783844' 'present']
 ['1' '138.84634787891358' 'present']
 ['1' '139.0308467319637' 'present']
 ['1' '139.51293561062306' 'present']
 ['1' '147.50437114629742' 'present']
 ['1' '154.5623455725687' 'marauded']
 ['1' '161.53829787569256' 'destroyed']
 ['1' '162.8337799076632' 'present']
 ['1' '169.37255844054542' 'marauded']
 ['1' '171.11755424511458' 'presentdestroyed']
 ['1' '171.9607177014797' 'destroyed']
 ['1' '172.8996395774851' 'presentdestroyed']
 ['1' '178.34901653452988' 'present']
 ['1' '181.17664988285793' 'present']
 ['1' '186.30795935304218' 'present']
 ['1' '190.54307454657345' 'present']
 ['1' '198.19837548578337' 'present']
 ['1' '199.23533079766435' 'present']
 ['1' '202.0727650077138' 'present']
 ['1' '205.6861422885938' 'present']
 ['1' '212.40957314840142' 'present']
 ['1' '213.37369298340684' 'present']
 ['1' '213.91278840176585' 'present']
 ['1' '216.8193883198692' 'present']
 ['1' '222.52443373962666' 'present']
 ['1' '223.23888577767238' 'present']
 ['1' '224.39751772013784' 'present']
 ['1' '225.86959844752295' 'marauded']
 ['1' '230.02638002775035' 'presentdestroyed']
 ['1' '233.5409315834948' 'present']
 ['1' '238.51908410227966' 'present']
 ['1' '248.90010340872198' 'present']
 ['1' '249.3614467870808' 'present']
 ['1' '253.67515674754952' 'present']
 ['1' '256.94478058639083' 'present']
 ['1' '260.29007340674264' 'present']
 ['1' '265.4218026842779' 'marauded']
 ['1' '265.56809898057423' 'presentdestroyed']
 ['1' '272.31510954848477' 'presentdestroyed']
 ['1' '273.2008172354111' 'present']
 ['1' '283.72752646180055' 'marauded']
 ['1' '291.51042956013424' 'marauded']
 ['1' '292.4624481615207' 'presentdestroyed']
 ['1' '293.89234291548775' 'destroyed']
 ['1' '299.6684269103795' 'present']
 ['1' '300.27286155643935' 'marauded']
 ['1' '302.74015043793196' 'destroyed']
 ['1' '302.78644673422826' 'presentdestroyed']
 ['1' '306.19396662863505' 'presentdestroyed']
 ['1' '310.8611523628513' 'present']
 ['1' '310.90744865914763' 'present']
 ['1' '313.3458825095219' 'present']
 ['1' '313.75187457532354' 'present']
 ['1' '321.1686229714423' 'present']
 ['1' '324.2736260325388' 'present']
 ['1' '332.3326539839087' 'present']
 ['1' '336.6118008011638' 'present']
 ['1' '341.41622047204856' 'present']
 ['1' '346.15264378807456' 'present']
 ['1' '348.3898347572053' 'marauded']
 ['1' '351.06378741207214' 'presentdestroyed']
 ['1' '356.18593103999194' 'presentdestroyed']
 ['1' '356.95952000788026' 'present']
 ['1' '358.4652068280651' 'present']]","[['F15' '51.35132198783483' 'mated']
 ['F8' '56.130479452555385' 'mated']
 ['F11' '83.19899799224603' 'mated']
 ['F12' '95.85152957713483' 'absentdestroyed']
 ['F0' '103.21251302935057' 'destroyed']
 ['F12' '119.89782587343113' 'absent']
 ['F9' '213.94786089381293' 'mated']]",572.0,72.73736152851117,15.25547178898959,1201.0,202.0363855114512,42.334695835779954,492.0,85.36796210045915,18.948574732478473,0.0,0.0,0.0,0.0,0.0,0.0
1,0.054,14,360.4983519527379,[],"[['F3' '76.58508939531633' 'mated']
 ['F2' '84.07182046418997' 'mated']
 ['F4' '106.9475570041887' 'mated']
 ['F12' '107.87467772528298' 'absent']
 ['F0' '115.23566117749873' 'mated']
 ['F6' '123.56961429816683' 'mated']
 ['F10' '128.38174078523406' 'mated']
 ['F12' '131.9209740215793' 'mated']
 ['F7' '136.55066717021145' 'mated']
 ['F14' '161.58726834239795' 'mated']
 ['F13' '162.20566667467898' 'mated']
 ['F5' '166.84525275214233' 'mated']
 ['F16' '171.19669958553538' 'mated']
 ['F1' '194.22143832630186' 'mated']
 ['F17' '315.32983872178806' 'mated']]",587.0,70.93451783327991,14.020787503488577,1701.0,282.74562913024783,59.887020462334846,0.0,0.0,0.0,14.0,1.4000000000000001,0.14000000000000007,108.0,5.000000000000008,0.23148148148148096
